Gesimuleerde gegevens,,,,,,
Age,SingleWomen,MarriedWomen,DivorcedWomen,SingleMen,MarriedMen,DivorcedMen
18,103706,92,2,108912,7,0
19,109168,388,4,113422,52,0
20,108696,1065,29,113778,141,0
21,107768,2376,89,113066,462,19
22,103575,4327,138,108881,1075,27
23,100016,6759,281,108680,2215,46
24,97872,9974,529,107106,3933,121
25,96196,14239,728,107965,6451,224
26,91324,18753,1035,104865,9385,400
27,86395,23969,1581,101782,13630,592
28,81556,29894,2117,98047,18044,890
29,75503,35423,2787,92563,23575,1326
30,68188,39132,3397,84005,27265,1603
31,62312,43083,3958,77556,32212,2108
32,57838,46582,4480,72812,36606,2508
33,54014,49408,5744,67652,39718,3078
34,49961,50390,6196,62196,42115,3810
35,46274,51475,6800,58191,43983,4301
36,42679,52166,7317,54055,44582,4516
37,40873,53507,7878,51637,46620,5257
38,40239,55895,8694,49921,49001,5690
39,38448,57247,10216,48363,51088,6811
40,36412,55964,10302,44870,50505,7021
41,34149,57364,11330,43176,51238,7761
42,32713,57026,11860,41128,51423,7933
43,31357,58003,12571,39611,53496,8803
44,29907,59819,13459,38237,54489,9146
45,29814,62763,15097,38018,57602,10624
46,29870,65681,15826,37679,60760,11402
47,30271,71197,19028,38632,66841,13121
48,29388,75317,20519,39005,70971,15132
49,28644,78914,22844,38316,75046,16952
50,26742,80779,25070,36487,77741,19221
51,24231,79079,23851,33231,75958,18477
52,22666,78618,23896,30855,76939,18794
53,21238,80559,23963,29082,78745,19216
54,20372,82096,24460,28349,80502,20151
55,19532,84255,25419,26925,82555,21205
56,18341,83741,24795,24755,82622,20893
57,16798,83817,24160,23071,81637,20242
58,16331,83166,23846,21418,81863,19965
59,14798,82364,22501,20044,80306,19085
60,13891,82174,22178,18456,80380,19063
61,12714,80835,21125,16969,79382,17905
62,11475,79868,20755,15256,78857,16896
63,10607,79202,19640,14207,78026,16404
64,9795,77816,19398,12781,76802,15001
65,8840,76536,18881,11570,76598,14714
66,8422,75900,17867,10554,76284,13674
67,7993,75748,18087,9900,76083,13783
68,7011,73346,16879,8940,74027,12545
69,6667,73997,16723,8275,74308,12079
70,6016,75236,16523,7310,75841,11487
71,6139,77277,16008,6713,78653,10840
72,6108,80829,17087,6551,81271,11080
73,5686,77330,22687,5905,79429,14952
74,4165,58825,11901,4018,58356,7101
75,4518,59111,13369,3843,59232,7584
76,4216,54478,13038,3609,54631,6931
77,4060,49517,11506,3109,48993,5861
78,3917,46444,10290,2950,44785,5139
79,4327,45015,11318,2822,43622,5022
80,4237,42522,10392,2505,39639,4353
81,4338,39322,10023,2453,36182,4127
82,4496,35039,8842,2096,31741,3092
83,4827,31954,8964,1993,28545,2882
84,4764,29208,8072,1616,25487,2366
85,5356,25569,7989,1471,22334,1927
86,5750,22390,6998,1267,18977,1619
87,5933,19609,6993,1202,16403,1428
88,5778,16314,6423,1102,13605,1109
89,6008,13369,6027,822,11112,1033
90,6005,9857,4902,694,8481,776
91,5747,7400,4472,575,6600,597
92,5283,4886,3667,438,4980,443
93,4851,3455,2954,360,3705,366
94,3893,2184,2520,259,2559,289
95,3307,1454,1975,201,1794,121
96,2479,692,1648,176,1195,155
97,1784,498,1126,113,681,111
98,1275,228,741,69,440,50
99,2101,138,1197,146,495,111
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Gegevens CBS,,,,,,
Perioden,2019,2019,2019,2019,2019,2019
Onderwerp,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking,Bevolking
Geslacht,SingleWomen,MarriedWomen,DivorcedWomen,SingleMen,MarriedMen,DivorcedMen
Burgerlijke staat,Ongehuwd,Gehuwd,Gescheiden,Ongehuwd,Gehuwd,Gescheiden
Leeftijd,aantal,aantal,aantal,aantal,aantal,aantal
18 jaar,105930,100,1,110572,10,0
19 jaar,105877,398,4,111140,46,0
20 jaar,106061,1044,26,111013,152,2
21 jaar,103036,2228,72,107183,444,14
22 jaar,100062,4198,147,107355,1058,23
23 jaar,98848,6685,272,106453,2153,56
24 jaar,98403,9994,508,108256,3979,124
25 jaar,94412,13939,741,105933,6326,241
26 jaar,90507,18447,1033,104328,9336,401
27 jaar,86624,23678,1541,101132,13415,577
28 jaar,80630,29464,2078,97011,17983,879
29 jaar,72621,34105,2674,87974,22261,1270
30 jaar,66478,38387,3240,82092,26805,1643
31 jaar,61305,42460,3875,76924,31633,2027
32 jaar,57191,46165,4455,70869,35961,2531
33 jaar,52411,47847,5360,65492,38527,3005
34 jaar,48465,49233,5965,60780,41304,3690
35 jaar,44787,49751,6656,56096,42301,4142
36 jaar,42544,51594,7312,53556,44600,4550
37 jaar,41486,54406,7936,51707,46953,5214
38 jaar,40087,55847,8720,50375,49332,5725
39 jaar,37183,55028,9874,46331,49112,6458
40 jaar,35859,55536,10201,44242,50212,6928
41 jaar,33438,56009,11190,42012,50322,7661
42 jaar,32250,56775,11948,41247,51878,8068
43 jaar,30972,57962,12519,39384,52966,8693
44 jaar,30722,61118,13807,39344,56173,9443
45 jaar,30373,63660,15408,38860,58875,10732
46 jaar,31310,69214,16769,40333,64412,12089
47 jaar,30876,72488,19279,40268,69240,13771
48 jaar,30077,76613,21014,40032,73009,15479
49 jaar,28638,78845,22756,39036,75824,17251
50 jaar,25528,76899,23762,34882,74459,18359
51 jaar,23615,76418,23395,32743,74806,18035
52 jaar,22191,78165,23502,30736,76629,18718
53 jaar,20970,79272,23436,29216,78963,19244
54 jaar,20121,81644,24401,28215,81165,20261
55 jaar,18942,80994,24608,26130,80971,20516
56 jaar,17501,80360,23804,23908,80161,20292
57 jaar,16270,80341,23318,22687,80105,19838
58 jaar,15289,78608,22620,20618,78939,19312
59 jaar,14087,78372,21190,19763,78348,18625
60 jaar,12829,76414,20608,17757,77585,18253
61 jaar,11759,75267,19625,16374,76243,17271
62 jaar,10675,73634,19056,14804,76099,16467
63 jaar,9719,72157,18069,13391,74395,15712
64 jaar,8787,70448,17394,12284,73936,14543
65 jaar,7952,68713,16683,11319,73256,14149
66 jaar,7506,68558,16088,10277,73487,13270
67 jaar,6707,65138,15592,9241,71092,13069
68 jaar,6165,64535,14754,8510,70935,11997
69 jaar,5796,64142,14609,7768,71790,11688
70 jaar,5298,65074,14134,7155,73859,11202
71 jaar,5185,66590,13637,6676,76326,10759
72 jaar,5071,66839,14185,6407,77800,10635
73 jaar,3423,45704,13283,4041,54325,10279
74 jaar,3325,45634,9360,3856,55235,6669
75 jaar,3116,40911,9196,3314,51124,6595
76 jaar,2744,35648,8478,2964,45299,5725
77 jaar,2555,31800,7407,2591,41109,4944
78 jaar,2574,30063,6725,2568,39926,4520
79 jaar,2511,26788,6645,2312,35803,4182
80 jaar,2337,23374,5751,2035,32797,3618
81 jaar,2182,19541,5125,1888,28145,3222
82 jaar,2133,16918,4199,1636,25209,2456
83 jaar,2129,14046,3883,1463,21856,2128
84 jaar,1932,11701,3228,1186,18970,1775
85 jaar,1927,9199,2865,1024,15656,1425
86 jaar,1916,7563,2364,904,13439,1126
87 jaar,1723,5736,2054,789,10877,946
88 jaar,1609,4459,1744,691,8444,699
89 jaar,1394,3040,1367,451,6360,568
90 jaar,1279,2131,1082,398,4673,424
91 jaar,1037,1338,813,274,3383,289
92 jaar,964,912,708,212,2380,205
93 jaar,792,551,484,154,1582,153
94 jaar,617,345,405,95,975,97
95 jaar,450,199,276,76,680,41
96 jaar,364,103,240,44,317,49
97 jaar,226,61,142,34,207,35
98 jaar,154,27,90,16,121,15
99 jaar,119,8,71,14,50,10
99 jaar of ouder,303,18,133,29,101,22
Bron: CBS,,,,,,
,,,,,,
,,,,,,
Oude Resultaten,,,,,,
Age,SingleWomen,MarriedWomen,SingleMen,MarriedMen,,
18,103708,92,108912,7,,
19,109169,391,113422,52,,
20,108722,1068,113780,139,,
21,107826,2407,113078,469,,
22,103714,4326,108902,1081,,
23,100293,6763,108734,2207,,
24,98313,10062,107232,3928,,
25,96858,14305,108205,6435,,
26,92221,18891,105248,9402,,
27,87580,24365,102275,13729,,
28,83090,30477,98802,18179,,
29,77459,36254,93681,23783,,
30,70253,40464,85279,27594,,
31,64665,44688,78972,32904,,
32,60387,48513,74486,37440,,
33,56842,52324,69617,40831,,
34,52976,53571,64476,43645,,
35,49586,54963,60652,45823,,
36,45978,56184,56501,46652,,
37,44288,57970,54276,49238,,
38,43960,60868,52760,51852,,
39,42614,63297,51611,54651,,
40,40579,62099,48164,54232,,
41,38309,64534,46753,55422,,
42,37096,64503,44694,55790,,
43,35640,66291,43418,58492,,
44,34572,68613,41952,59920,,
45,34824,72850,42119,64125,,
46,34860,76517,42132,67709,,
47,35984,84512,43523,75071,,
48,35305,89919,44373,80735,,
49,34623,95779,44134,86180,,
50,32956,99635,42516,90933,,
51,29913,97248,38790,88876,,
52,27963,97217,36304,90284,,
53,26175,99585,34271,92772,,
54,25249,101679,33585,95417,,
55,24511,104695,32006,98679,,
56,22734,104143,29446,98824,,
57,20971,103804,27446,97504,,
58,20094,103249,25461,97785,,
59,18200,101463,23991,95444,,
60,17025,101218,21971,95928,,
61,15634,99040,20149,94107,,
62,14101,97997,18023,92986,,
63,12894,96555,16789,91848,,
64,11986,95023,14966,89618,,
65,10722,93535,13557,89325,,
66,10197,91992,12230,88282,,
67,9717,92111,11554,88212,,
68,8470,88766,10313,85199,,
69,8080,89307,9474,85188,,
70,7274,90501,8360,86278,,
71,7280,92144,7605,88601,,
72,7352,96672,7415,91487,,
73,7189,98514,6998,93288,,
74,4959,69932,4451,65024,,
75,5482,71516,4304,66355,,
76,5177,66555,4027,61144,,
77,4956,60127,3439,54524,,
78,4709,55942,3241,49633,,
79,5312,55348,3114,48352,,
80,5249,51902,2757,43740,,
81,5357,48326,2729,40033,,
82,5569,42808,2287,34642,,
83,6003,39742,2177,31243,,
84,5926,36118,1755,27714,,
85,6731,32183,1586,24146,,
86,7133,28005,1349,20514,,
87,7535,25000,1302,17731,,
88,7441,21074,1194,14622,,
89,7876,17528,874,12093,,
90,7849,12915,761,9190,,
91,7728,9891,624,7148,,
92,7219,6617,471,5390,,
93,6635,4625,398,4033,,
94,5504,3093,275,2832,,
95,4709,2027,215,1901,,
96,3770,1049,193,1333,,
97,2667,741,131,774,,
98,1905,339,77,482,,
99,3232,204,168,584,,
