Age,SingleWomen,MarriedWomen,DivorcedWomen,SingleMen,MarriedMen,DivorcedMen
18,105930,100,1,110572,10,0
19,105877,398,4,111140,46,0
20,106061,1044,26,111013,152,2
21,103036,2228,72,107183,444,14
22,100062,4198,147,107355,1058,23
23,98848,6685,272,106453,2153,56
24,98403,9994,508,108256,3979,124
25,94412,13939,741,105933,6326,241
26,90507,18447,1033,104328,9336,401
27,86624,23678,1541,101132,13415,577
28,80630,29464,2078,97011,17983,879
29,72621,34105,2674,87974,22261,1270
30,66478,38387,3240,82092,26805,1643
31,61305,42460,3875,76924,31633,2027
32,57191,46165,4455,70869,35961,2531
33,52411,47847,5360,65492,38527,3005
34,48465,49233,5965,60780,41304,3690
35,44787,49751,6656,56096,42301,4142
36,42544,51594,7312,53556,44600,4550
37,41486,54406,7936,51707,46953,5214
38,40087,55847,8720,50375,49332,5725
39,37183,55028,9874,46331,49112,6458
40,35859,55536,10201,44242,50212,6928
41,33438,56009,11190,42012,50322,7661
42,32250,56775,11948,41247,51878,8068
43,30972,57962,12519,39384,52966,8693
44,30722,61118,13807,39344,56173,9443
45,30373,63660,15408,38860,58875,10732
46,31310,69214,16769,40333,64412,12089
47,30876,72488,19279,40268,69240,13771
48,30077,76613,21014,40032,73009,15479
49,28638,78845,22756,39036,75824,17251
50,25528,76899,23762,34882,74459,18359
51,23615,76418,23395,32743,74806,18035
52,22191,78165,23502,30736,76629,18718
53,20970,79272,23436,29216,78963,19244
54,20121,81644,24401,28215,81165,20261
55,18942,80994,24608,26130,80971,20516
56,17501,80360,23804,23908,80161,20292
57,16270,80341,23318,22687,80105,19838
58,15289,78608,22620,20618,78939,19312
59,14087,78372,21190,19763,78348,18625
60,12829,76414,20608,17757,77585,18253
61,11759,75267,19625,16374,76243,17271
62,10675,73634,19056,14804,76099,16467
63,9719,72157,18069,13391,74395,15712
64,8787,70448,17394,12284,73936,14543
65,7952,68713,16683,11319,73256,14149
66,7506,68558,16088,10277,73487,13270
67,6707,65138,15592,9241,71092,13069
68,6165,64535,14754,8510,70935,11997
69,5796,64142,14609,7768,71790,11688
70,5298,65074,14134,7155,73859,11202
71,5185,66590,13637,6676,76326,10759
72,5071,66839,14185,6407,77800,10635
73,3423,45704,13283,4041,54325,10279
74,3325,45634,9360,3856,55235,6669
75,3116,40911,9196,3314,51124,6595
76,2744,35648,8478,2964,45299,5725
77,2555,31800,7407,2591,41109,4944
78,2574,30063,6725,2568,39926,4520
79,2511,26788,6645,2312,35803,4182
80,2337,23374,5751,2035,32797,3618
81,2182,19541,5125,1888,28145,3222
82,2133,16918,4199,1636,25209,2456
83,2129,14046,3883,1463,21856,2128
84,1932,11701,3228,1186,18970,1775
85,1927,9199,2865,1024,15656,1425
86,1916,7563,2364,904,13439,1126
87,1723,5736,2054,789,10877,946
88,1609,4459,1744,691,8444,699
89,1394,3040,1367,451,6360,568
90,1279,2131,1082,398,4673,424
91,1037,1338,813,274,3383,289
92,964,912,708,212,2380,205
93,792,551,484,154,1582,153
94,617,345,405,95,975,97
95,450,199,276,76,680,41
96,364,103,240,44,317,49
97,226,61,142,34,207,35
98,154,27,90,16,121,15
99,119,8,71,14,50,10
