Sex,Age,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Female,0,83358,83378,84777,86539,88700,90733,92404,94122,95535,96624,97348,97780,98016,98053,97928,97644,97307,96942,96428,95824,95181,94563,93973,93435,92973,92597,92294,92065,91919,91890,92006,92281,92706,93255,93921,94697,95549,96454,97368,98257,99091
Female,1,83019,84150,84188,85578,87347,89504,91529,93202,94923,96333,97416,98135,98562,98794,98821,98697,98413,98077,97710,97196,96590,95947,95326,94736,94198,93738,93364,93061,92836,92691,92660,92778,93054,93479,94030,94695,95472,96323,97228,98141,99026
Female,2,83874,83771,84907,84927,86320,88078,90224,92243,93916,95635,97033,98111,98825,99246,99473,99499,99375,99091,98755,98387,97873,97268,96623,96006,95418,94882,94422,94049,93748,93524,93383,93351,93470,93750,94176,94726,95391,96167,97017,97924,98834
Female,3,85483,84540,84455,85557,85576,86955,88698,90837,92849,94523,96228,97619,98688,99395,99814,100039,100063,99939,99656,99322,98953,98438,97835,97192,96576,95990,95455,94997,94629,94329,94107,93968,93936,94058,94339,94767,95319,95983,96759,97607,98513
Female,4,85215,86134,85194,85080,86165,86176,87541,89277,91415,93424,95084,96779,98163,99226,99928,100348,100573,100597,100472,100191,99858,99488,98974,98374,97733,97119,96531,95999,95546,95180,94883,94662,94526,94496,94618,94900,95330,95884,96550,97325,98173
Female,5,88064,85828,86770,85781,85650,86706,86709,88067,89801,91936,93937,95591,97277,98655,99713,100415,100835,101061,101085,100960,100683,100349,99982,99469,98869,98231,97618,97033,96506,96056,95690,95394,95175,95043,95015,95139,95423,95855,96412,97077,97852
Female,6,85809,88671,86445,87349,86335,86176,87196,87198,88561,90295,92419,94415,96065,97742,99115,100172,100875,101295,101522,101546,101423,101149,100818,100454,99940,99343,98707,98098,97517,96992,96545,96182,95888,95671,95542,95517,95643,95929,96363,96920,97586
Female,7,88369,86461,89309,87040,87927,86874,86679,87672,87686,89054,90781,92898,94889,96537,98208,99580,100639,101341,101763,101990,102017,101894,101622,101292,100933,100421,99825,99193,98586,98008,97487,97043,96680,96389,96173,96047,96025,96154,96443,96880,97436
Female,8,90045,88992,87093,89878,87591,88445,87354,87133,88114,88137,89501,91230,93340,95324,96968,98637,100007,101066,101766,102190,102420,102447,102327,102059,101733,101374,100862,100270,99642,99039,98464,97945,97501,97141,96852,96638,96515,96496,96627,96919,97355
Female,9,92955,90649,89589,87654,90401,88081,88906,87782,87547,88519,88549,89910,91636,93743,95723,97363,99032,100398,101457,102159,102585,102815,102843,102725,102460,102135,101779,101269,100679,100054,99453,98882,98364,97922,97563,97277,97064,96945,96927,97060,97352
