Sex,Age,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Male,0,118626,115825,114592,116582,114583,115037,114942,116652,117991,119754,121895,120351,124493,123972,126245,126978,124064,120923,120760,119602,125324,120723,115270,108166,98629,94615,90514,90330,88266,89353,89230,92660,90637,87527,86584,88979,90581,93263,95322,94945,95512,101131,101127,100392,99656,100285,97614,97867,98146,102214,103549,105856,104502,103818,103111,99076,95904,94628,92212,94691,94400,93892,92095,89957,87763,89200,87338,88427,87001,86173,87515,87532,89013,90867,93141,95282,97043,98849,100335,101487,102249,102704,102953,102994,102864,102568,102213,101829,101291,100657,99984,99336,98718,98153,97669,97274,96957,96718,96565,96536,96661,96950,97395,97976,98676,99493,100388,101338,102299,103235,104111
Male,1,123547,118558,114994,113540,115628,113890,114626,114308,116010,118221,119088,121335,120024,124313,123517,125997,126768,123798,120579,120520,119418,125258,120884,115356,108317,98844,95313,90802,90539,88541,89960,89832,92861,90576,87546,86652,89342,90944,93612,95581,95236,96023,101472,101481,100738,99816,100437,97879,98321,98860,102854,104153,106511,104951,104067,103198,99050,95879,94737,92606,95024,94784,94277,92368,90184,88068,89724,88014,88938,87646,87013,88396,88432,89901,91764,94032,96169,97933,99743,101234,102374,103131,103582,103826,103857,103725,103429,103075,102689,102149,101515,100842,100191,99576,99013,98530,98136,97819,97582,97432,97404,97530,97821,98269,98849,99550,100368,101265,102212,103173,104107
Male,2,131904,123918,118097,114158,112981,115210,113718,114277,113948,116580,117769,118693,121220,120203,124056,123442,125872,126713,123617,120494,120501,119487,125541,121101,115512,108598,99726,95693,91092,90902,89022,90640,90044,92829,90638,87593,86963,89694,91318,93931,95965,95670,96669,101852,101893,101088,100043,100674,98123,98724,99191,103235,104465,106544,104803,103889,102865,98795,95788,94857,92895,95310,95056,94354,92438,90389,88508,90346,88597,89405,88500,87922,89306,89329,90801,92658,94916,97050,98818,100629,102109,103244,103994,104440,104678,104705,104572,104277,103921,103533,102992,102358,101683,101034,100418,99859,99374,98983,98668,98433,98286,98257,98386,98678,99128,99710,100414,101233,102128,103077,104037
Male,3,138267,131595,123406,117307,113518,112608,115016,113374,113927,114521,116160,117310,118620,121269,120059,123943,123313,125732,126614,123573,120507,120609,119760,125847,121448,116011,109454,100126,96082,91508,91361,89605,90715,89984,92814,90714,87887,87275,90031,91586,94400,96376,96030,97034,102275,102201,101225,100243,100907,98489,99112,99549,103510,104488,106402,104573,103536,102502,98583,95888,95057,93062,95484,95073,94351,92624,90806,88997,90861,89102,90106,89221,88665,90012,90036,91497,93344,95599,97728,99493,101293,102764,103889,104634,105076,105311,105339,105204,104910,104554,104164,103622,102990,102319,101670,101055,100497,100014,99627,99314,99081,98936,98911,99040,99333,99786,100370,101076,101894,102788,103739
Male,4,99086,138892,131127,122582,116834,113210,112462,114646,113030,114623,114212,115926,117218,118742,121110,120010,123849,123324,125673,126547,123611,120600,120915,120023,126123,121947,116762,109801,100479,96450,92074,91966,89789,90747,90007,92801,90872,88317,87501,90285,91932,94756,96775,96377,97518,102571,102416,101508,100466,101290,98864,99598,99849,103497,104412,106100,104215,103110,102303,98630,95998,95260,93255,95481,95058,94447,92936,91368,89623,91332,89700,90746,89857,89284,90612,90634,92091,93933,96186,98312,100065,101855,103318,104437,105177,105620,105854,105881,105744,105451,105096,104704,104164,103533,102862,102215,101602,101047,100566,100182,99870,99639,99497,99473,99605,99903,100356,100942,101649,102471,103362
Male,5,104739,98818,138163,130247,122073,116511,113217,112157,114321,113802,114305,113730,115938,117406,118612,121016,119996,123897,123190,125619,126546,123789,120895,121177,120346,126537,122789,117151,110170,100894,97004,92646,92104,89721,90800,90009,93028,91138,88588,87682,90517,92339,95154,97119,96815,97835,102800,102606,101813,100808,101584,99219,99877,99862,103353,104081,105694,103786,102861,102276,98694,96038,95326,93174,95374,95173,94838,93425,91870,89987,91916,90312,91377,90444,89868,91177,91193,92649,94492,96744,98857,100602,102381,103837,104951,105689,106132,106365,106391,106256,105962,105610,105220,104680,104050,103382,102735,102127,101574,101095,100713,100404,100175,100035,100012,100148,100448,100902,101487,102196,103019
Male,6,100543,104509,98300,137263,129718,121752,116405,112946,111881,114989,113444,114048,113684,116124,117275,118597,121033,119960,123816,123163,125637,126745,124164,121152,121400,120695,127296,123116,117447,110438,101429,97575,92841,92138,89688,90719,90165,93254,91325,88697,88022,90889,92743,95506,97460,97068,98061,103031,102743,102102,101104,101945,99469,99870,99777,103150,103707,105293,103559,102762,102325,98753,96080,95340,93242,95467,95504,95409,93945,92277,90615,92551,90951,92001,91051,90470,91763,91785,93242,95089,97332,99438,101176,102947,104394,105505,106244,106687,106919,106945,106810,106516,106163,105774,105235,104608,103942,103297,102692,102141,101665,101286,100977,100751,100613,100592,100731,101032,101489,102076,102784
Male,7,91677,100366,103957,97628,136631,129397,121562,116191,112725,112507,114676,113120,113979,113880,116047,117266,118588,121087,119925,123766,123213,125766,127031,124409,121439,121682,121341,127534,123353,117662,110944,102003,97747,92776,92004,89599,90783,90309,93450,91440,89140,88336,91237,93046,95876,97776,97276,98342,103312,103044,102363,101497,102240,99555,99817,99504,102810,103411,105151,103510,102843,102453,98819,96023,95470,93376,95910,96029,96038,94365,92901,91270,93190,91565,92621,91651,91063,92344,92381,93842,95684,97921,100021,101752,103513,104956,106067,106803,107247,107480,107504,107368,107077,106727,106337,105798,105173,104512,103870,103267,102719,102246,101868,101561,101336,101199,101180,101322,101623,102082,102669
Male,8,87045,91895,99922,103210,97191,136207,129258,121321,115923,113382,112272,114345,113086,114151,113799,116076,117248,118642,121034,119894,123813,123379,126036,127241,124653,121845,122069,121566,127754,123681,118140,111480,102115,97684,92716,91933,89715,91046,90549,93623,91787,89456,88711,91571,93497,96207,98060,97554,98589,103637,103404,102750,101826,102318,99507,99667,99230,102511,103248,105166,103609,102900,102511,98820,96103,95697,93744,96466,96625,96472,94959,93511,91879,93750,92124,93182,92190,91602,92877,92930,94386,96224,98457,100548,102271,104029,105468,106580,107313,107757,107991,108014,107878,107590,107244,106855,106317,105692,105035,104395,103794,103247,102776,102400,102095,101872,101737,101720,101864,102166,102625
Male,9,88354,87334,91635,99287,102749,96897,135851,128990,121077,116591,113126,111760,114362,113263,114075,113795,116117,117253,118607,121052,119960,123989,123644,126275,127507,125059,122474,122327,121760,127996,124217,118821,111642,102134,97595,92636,92029,89981,91244,90701,94038,92150,89842,89026,91959,93721,96474,98306,97867,98908,104015,103839,103078,101977,102244,99311,99476,99057,102381,103282,105337,103738,102989,102542,98946,96335,96015,94264,97025,97132,97066,95577,94118,92463,94314,92683,93738,92732,92148,93419,93477,94931,96767,98994,101080,102799,104555,105990,107100,107832,108277,108510,108534,108398,108115,107770,107382,106844,106221,105567,104930,104333,103788,103319,102945,102643,102422,102288,102272,102419,102723
