Age,WomenNoChildren,MotherOfOneAgeFirstBorn,MotherOfTwoAgeFirtBorn,MotherOfThreeAgeFirstBorn,BirthingMothersTotal
18,80,4,6,2,12
19,290,43,38,17,98
20,924,44,68,29,141
21,1949,162,191,74,427
22,3566,278,344,139,761
23,5554,465,509,231,1205
24,8123,653,842,356,1851
25,11338,1041,1286,574,2901
26,14760,1410,1801,782,3993
27,18728,1907,2279,1055,5241
28,23099,2468,3039,1288,6795
29,27463,2828,3624,1508,7960
30,30272,3145,4035,1680,8860
31,33995,3274,4101,1713,9088
32,37650,3204,4059,1669,8932
33,40892,3045,3833,1638,8516
34,43096,2564,3299,1431,7294
35,44988,2376,2865,1246,6487
36,47108,1820,2266,972,5058
37,49643,1391,1720,753,3864
38,52849,1009,1429,608,3046
39,54698,918,1116,515,2549
40,54331,593,736,304,1633
41,56349,356,459,200,1015
42,56382,237,275,132,644
43,57635,129,166,73,368
44,59604,86,97,32,215
45,62634,39,62,28,129
46,65620,25,25,11,61
47,71153,10,26,8,44
48,75306,4,5,2,11
49,78869,17,19,9,45
