Age,SingleWomen,MarriedWomen,DivorcedWomen,SingleMen,MarriedMen,DivorcedMen
18,103706,92,2,108912,7,0
19,109168,388,4,113422,52,0
20,108696,1065,29,113778,141,0
21,107768,2376,89,113066,462,19
22,103575,4327,138,108881,1075,27
23,100016,6759,281,108680,2215,46
24,97872,9974,529,107106,3933,121
25,96196,14239,728,107965,6451,224
26,91324,18753,1035,104865,9385,400
27,86395,23969,1581,101782,13630,592
28,81556,29894,2117,98047,18044,890
29,75503,35423,2787,92563,23575,1326
30,68188,39132,3397,84005,27265,1603
31,62312,43083,3958,77556,32212,2108
32,57838,46582,4480,72812,36606,2508
33,54014,49408,5744,67652,39718,3078
34,49961,50390,6196,62196,42115,3810
35,46274,51475,6800,58191,43983,4301
36,42679,52166,7317,54055,44582,4516
37,40873,53507,7878,51637,46620,5257
38,40239,55895,8694,49921,49001,5690
39,38448,57247,10216,48363,51088,6811
40,36412,55964,10302,44870,50505,7021
41,34149,57364,11330,43176,51238,7761
42,32713,57026,11860,41128,51423,7933
43,31357,58003,12571,39611,53496,8803
44,29907,59819,13459,38237,54489,9146
45,29814,62763,15097,38018,57602,10624
46,29870,65681,15826,37679,60760,11402
47,30271,71197,19028,38632,66841,13121
48,29388,75317,20519,39005,70971,15132
49,28644,78914,22844,38316,75046,16952
50,26742,80779,25070,36487,77741,19221
51,24231,79079,23851,33231,75958,18477
52,22666,78618,23896,30855,76939,18794
53,21238,80559,23963,29082,78745,19216
54,20372,82096,24460,28349,80502,20151
55,19532,84255,25419,26925,82555,21205
56,18341,83741,24795,24755,82622,20893
57,16798,83817,24160,23071,81637,20242
58,16331,83166,23846,21418,81863,19965
59,14798,82364,22501,20044,80306,19085
60,13891,82174,22178,18456,80380,19063
61,12714,80835,21125,16969,79382,17905
62,11475,79868,20755,15256,78857,16896
63,10607,79202,19640,14207,78026,16404
64,9795,77816,19398,12781,76802,15001
65,8840,76536,18881,11570,76598,14714
66,8422,75900,17867,10554,76284,13674
67,7993,75748,18087,9900,76083,13783
68,7011,73346,16879,8940,74027,12545
69,6667,73997,16723,8275,74308,12079
70,6016,75236,16523,7310,75841,11487
71,6139,77277,16008,6713,78653,10840
72,6108,80829,17087,6551,81271,11080
73,5686,77330,22687,5905,79429,14952
74,4165,58825,11901,4018,58356,7101
75,4518,59111,13369,3843,59232,7584
76,4216,54478,13038,3609,54631,6931
77,4060,49517,11506,3109,48993,5861
78,3917,46444,10290,2950,44785,5139
79,4327,45015,11318,2822,43622,5022
80,4237,42522,10392,2505,39639,4353
81,4338,39322,10023,2453,36182,4127
82,4496,35039,8842,2096,31741,3092
83,4827,31954,8964,1993,28545,2882
84,4764,29208,8072,1616,25487,2366
85,5356,25569,7989,1471,22334,1927
86,5750,22390,6998,1267,18977,1619
87,5933,19609,6993,1202,16403,1428
88,5778,16314,6423,1102,13605,1109
89,6008,13369,6027,822,11112,1033
90,6005,9857,4902,694,8481,776
91,5747,7400,4472,575,6600,597
92,5283,4886,3667,438,4980,443
93,4851,3455,2954,360,3705,366
94,3893,2184,2520,259,2559,289
95,3307,1454,1975,201,1794,121
96,2479,692,1648,176,1195,155
97,1784,498,1126,113,681,111
98,1275,228,741,69,440,50
99,2101,138,1197,146,495,111
