Duration,MarriedDurationCouples
1,19521
2,19575
3,19395
4,19420
5,18577
6,19739
7,19235
8,19996
9,19690
10,19663
11,18527
12,17564
13,17196
14,17241
15,18119
16,18602
17,17788
18,18785
19,18529
20,18280
21,17535
22,17102
23,16444
24,17020
25,17026
26,17798
27,17793
28,18098
29,17187
30,16898
31,16488
32,16248
33,15153
34,14859
35,14455
36,15253
37,15579
38,16636
39,15119
40,15597
41,16061
42,16630
43,17384
44,18022
45,17320
46,19096
47,19214
48,18572
49,17105
50,16301
51,15363
52,13984
53,12584
54,10693
55,9087
56,7769
57,6960
58,5623
59,4671
60,4003
61,3263
62,2433
63,1796
64,1252
65,935
66,616
67,386
68,216
69,155
70,83
71,136
