Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,2034,2265,2419,2375,2289,2433,2493,2604,2834,3078,3279,3627,4163,4593,4645,6527,6800,6178,6124,6303,6845,7506,7732,7974,7880,7271,6834,5957,5180,4639,3959,3769,3263,3106,2484,2126,1790,1878,1799,2004,2413,2262,2260,1928,1631,1289,1020,931,901,880,879,809,766,781,718,503,278,209,227,197,223,208,173,172,136,133,145,183,145,100,95
19,5103,4785,5370,5347,5712,5293,5505,5659,6150,6394,6993,7452,8218,9278,10189,10296,14710,15140,14124,14042,14417,15728,17121,17401,17559,17900,16391,15608,13898,11977,10564,9648,8569,7546,6677,5505,4592,4169,3935,4007,4558,4449,4541,3916,3290,3038,2276,2353,2256,2313,2281,2356,2219,2187,2103,1723,1138,751,692,708,683,648,615,527,500,412,460,521,484,398,335
20,9001,9314,9339,9951,9511,10121,9964,10462,10909,11847,12110,13302,14317,15424,17132,19333,19691,27943,28740,27255,26909,27685,29586,31596,31231,32069,31338,29551,27776,25009,22176,20327,18738,17033,14481,12713,10521,9200,8102,7799,8282,7929,7711,6995,6015,5588,4670,3972,4153,4101,4184,4215,4287,4044,3879,3557,2832,2072,1768,1702,1766,1675,1474,1414,1179,1121,1117,1152,1113,1044,907
21,15217,14755,15739,15368,16184,15722,16791,17193,18016,18931,20053,20715,22752,23627,25341,28925,32417,32724,46449,46861,44363,44406,45556,46994,48014,48108,47525,46516,43810,41298,37877,35809,32511,30699,27159,23864,21195,18522,16043,14268,14311,13926,12966,11756,10437,9382,7999,7110,6355,6647,6608,6586,6695,6811,6294,5914,5415,4479,3885,3568,3712,3551,3318,2926,2792,2526,2491,2436,2404,2228,2110
22,21383,22290,22440,23363,22766,24192,23649,25443,26363,27634,28210,29871,31539,33924,34726,37616,42982,47263,46847,65981,65226,62972,61964,62007,61287,62822,61649,60348,59083,55905,52983,50465,47563,44314,41331,37080,33453,31016,27335,24340,22653,21691,20997,18937,16616,15030,12755,11350,10295,9449,9776,9853,9550,9707,9672,8741,8282,7800,6930,6603,6275,6230,5931,5624,4963,4797,4515,4551,4328,4198,3962
23,28729,28762,30780,30506,31727,31578,33404,32867,35269,36391,37324,37817,40565,42550,44887,45725,49444,55936,60516,58983,82209,81369,77605,75056,72841,72124,72848,71125,69467,68032,64782,62664,59635,57289,52548,49972,46231,43053,40478,36408,33898,31322,29857,28577,25493,22566,19663,17211,15375,14115,13270,13409,13280,12959,13096,12584,11594,11064,10584,10091,9862,9447,9195,8727,8162,7586,7290,7153,7010,6685,6468
24,36348,36329,36995,39017,38748,40672,40546,42753,42231,44679,44985,45741,46919,50025,51898,54840,55410,59103,65666,69878,67448,94414,92534,86984,82656,80454,78549,79397,77360,75487,74108,71773,69091,66640,63505,59315,57475,54545,51460,48862,45695,42528,39527,37787,36020,32559,28186,24983,22195,20251,18723,17707,17276,17226,16749,16566,15906,14702,14138,13995,13682,13493,12783,12467,11844,11357,10766,10518,10282,9994,9550
25,43793,43419,43774,44178,46252,46622,48932,48657,51006,50057,52000,51768,53075,53875,57381,59652,62433,62193,65486,71991,76022,73302,102044,99081,92086,87937,84652,82848,83476,81261,79596,78803,76122,73839,70929,68719,64908,64038,61529,58787,57197,53886,50534,47218,45052,43319,38891,34323,30919,27705,25781,23747,22049,21839,21381,20461,20264,19511,18271,17991,18033,17728,17454,16502,15982,15431,15080,14746,14214,13939,13631
26,50320,50153,49933,49818,50030,52576,52976,55861,55154,57215,55492,56513,56912,58323,58781,62760,64874,67305,66334,69423,75835,79979,76748,106430,102514,95402,90586,87477,85568,86154,83992,82524,81283,79353,76590,74234,72808,70037,69715,67415,65431,64141,61015,57444,53795,51487,49492,45411,40617,37211,33699,31454,28391,27007,26477,25556,24602,24372,23707,22579,22177,22322,22136,21471,20390,19839,19511,19669,19095,18447,18097
27,53287,55698,55554,54576,54529,54860,57514,58033,60797,59854,61121,58828,60126,60565,61754,62258,66248,68121,70150,68755,71696,78364,82524,78711,108586,104814,97209,92409,89177,87266,88068,86060,84282,83396,81131,78853,77112,76583,74238,74412,72662,71281,70046,67062,63205,59436,56946,55587,51647,47102,43669,39503,36333,33517,31739,30762,29722,28736,28632,28338,27158,26648,26647,26349,25472,24749,24124,24311,24487,23678,23243
28,58125,57484,59737,59217,58098,58137,58472,61177,61475,64238,62549,63569,61417,62700,62863,64149,64552,68358,69899,71826,70225,73177,79935,83997,79736,110028,106248,98297,93521,90366,88327,89498,87020,85990,84363,82486,80805,79943,79991,78001,79008,77392,76242,75155,72130,68219,64053,62135,61529,58097,53419,49684,44339,41420,38229,36081,34879,33810,32955,33154,32905,31572,30789,30770,30376,29780,29136,29036,29117,29464,28920
29,61632,61499,60475,62427,61724,60783,60816,60997,63476,63978,66231,64035,65523,63245,64323,64477,65713,65930,69554,71040,72825,71178,74113,80840,84587,80372,111148,106787,98904,94123,91074,89106,89914,88052,86440,85313,84052,82991,82496,82773,81347,82765,81423,80500,79459,76114,72063,68573,66885,67222,63919,59053,54404,49114,45854,42338,39823,38671,37698,37222,37737,37374,35598,34550,34438,34349,34278,33623,33738,34105,34683
30,53451,64291,63870,62409,64359,63694,62776,62683,62698,65471,65285,67069,65378,66893,64378,65496,65449,66801,66725,70412,71815,73666,71874,74714,81192,85048,81287,111472,107174,99384,94498,91541,89154,90602,88126,86924,86007,85563,85010,84480,85528,84421,86075,84725,83996,82965,79194,75718,72721,71425,72212,68935,63161,58908,53194,49383,45665,43231,41948,41414,41207,41850,41256,39026,37845,37979,38185,38730,38178,38387,39025
