Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
18,175,186,166,150,170,163,179,227,220,285,299,389,475,502,523,747,739,735,725,741,690,759,726,666,542,493,452,354,335,344,354,412,341,329,192,136,114,150,171,235,366,273,275,197,139,108,73,93,77,114,74,80,77,95,59,37,25,21,27,13,27,23,25,21,18,6,16,12,5,10,10
19,780,743,725,731,673,742,776,787,926,1015,1189,1336,1577,1926,2054,2108,2979,3078,2739,2733,2714,2853,2934,2716,2427,2135,1872,1683,1423,1176,1176,1166,1057,1088,784,589,475,473,518,674,903,844,880,643,527,386,301,264,308,275,321,312,301,288,272,186,127,97,74,96,93,84,78,81,57,54,43,51,42,46,42
20,2295,2100,2107,1998,2046,1998,2061,2022,2139,2441,2552,2852,3331,3830,4510,4932,5276,7579,7907,7624,7493,7369,7458,7476,7093,6853,6005,5971,4891,4042,3288,3278,2831,2957,2323,1902,1518,1515,1202,1381,1958,1797,1884,1556,1193,1134,723,682,675,719,715,749,760,738,637,570,401,310,291,273,319,269,251,224,215,179,191,168,169,152,145
21,4659,4371,4497,4325,4184,4031,4032,4129,4278,4569,4966,5339,6144,6854,7839,9357,10429,10927,15929,16570,15684,16012,15734,16037,15709,15174,14468,13391,12506,10330,9032,8139,7467,7105,6327,5385,4438,4007,3426,2872,3530,3621,3504,3052,2567,2299,1863,1464,1366,1416,1462,1474,1544,1567,1477,1253,1071,847,809,820,858,823,703,646,567,543,551,546,435,444,418
22,7033,7601,7885,7987,7471,7597,7473,7922,8166,8656,9092,10035,11206,12224,13527,15547,18479,20760,21406,30976,30921,29804,29989,29357,29029,29158,27438,25992,23592,21639,19036,17493,16062,15182,13337,11938,10267,9602,7912,7022,6619,6655,6742,5859,5036,4433,3606,3146,2711,2610,2624,2789,2759,2846,2782,2539,2276,2010,1798,1782,1938,1818,1687,1532,1420,1310,1297,1292,1158,1058,1042
23,11265,11338,12761,13035,13241,12724,13253,13298,14421,14948,15652,16223,18264,19870,21448,23774,27170,32095,35335,35591,50628,50388,48263,46671,44094,44002,43517,40495,38444,35169,32549,30435,27708,26209,23505,21302,19179,17688,16065,13853,13419,11551,11391,10743,9249,8185,6617,5710,5149,4589,4526,4437,4588,4586,4639,4348,3979,3648,3472,3355,3383,3460,3196,3035,2757,2672,2484,2532,2360,2153,2142
24,16455,17031,18239,19609,19971,20804,20384,21616,21660,23318,23721,24645,25894,28727,30570,33431,36551,40971,46954,50747,49861,70725,69032,64592,60378,57854,56485,55458,51998,49577,45643,44002,40955,38582,35113,32099,29873,28282,25950,23889,22144,20499,17868,16874,15737,13887,11661,9791,8489,7969,7124,7047,6798,7012,6845,6722,6298,5837,5569,5609,5599,5491,5452,5037,4826,4582,4488,4258,4112,3979,3670
25,26418,23332,25105,26071,27543,28464,29875,30006,31472,31436,32757,33277,35043,36172,39603,42336,46392,49178,53140,59595,63502,61955,86503,82692,76034,71748,68005,65698,64715,61105,58509,55374,53040,50387,46745,43288,40444,39012,36781,34457,33433,30645,28354,24937,23137,21700,18734,16069,13906,12190,11464,10264,10054,9713,9891,9381,9260,8709,8324,8157,8486,8326,8123,7927,7403,7212,7099,6962,6454,6326,6144
26,34384,34108,31891,33399,34221,36129,37073,39298,39666,41118,40232,41414,42681,44371,45355,50089,53165,57445,58469,62258,68885,73335,70505,96682,91211,84568,78975,74891,72264,71464,67789,65950,62225,60805,56726,53530,50552,48741,46945,44667,43711,42188,38883,35745,31681,29621,27263,24242,21200,18869,16798,15500,13944,13601,13109,12815,12350,12223,11575,11455,11332,11709,11576,11070,10726,10198,10163,10247,9935,9336,9141
27,40052,42166,41796,39802,41098,42073,44125,45391,47731,47979,48879,47246,49174,50238,51692,53520,58597,61332,64280,64988,68604,75763,79751,75349,102720,97291,89519,83763,79674,76877,76224,73176,70692,67732,65437,61646,59160,57498,55475,54151,52869,51653,50210,46489,42478,38289,35429,33393,30224,27190,24398,21826,19589,18111,17513,16652,16158,15543,15555,15258,15035,14931,15274,14836,14237,14108,13468,13814,13811,13415,12833
