Jaar,Ongehuwden,Gehuwden,Partnerschappen
1950,1873469,166220,0
1951,1878596,180450,0
1952,1855275,174804,0
1953,1832840,171478,0
1954,1815420,176206,0
1955,1798023,178074,0
1956,1781964,184544,0
1957,1768310,187184,0
1958,1755270,183016,0
1959,1749152,176014,0
1960,1741823,178200,0
1961,1744586,185166,0
1962,1757830,186288,0
1963,1778446,190720,0
1964,1782359,205826,0
1965,1848044,217034,0
1966,1893111,223824,0
1967,1913768,230230,0
1968,1908489,235068,0
1969,1897291,234794,0
1970,1890241,247262,0
1971,1882948,244790,0
1972,1873474,235064,0
1973,1869552,215284,0
1974,1888751,219214,0
1975,1912316,200162,0
1976,1964878,194082,0
1977,2014564,186560,0
1978,2081220,178180,0
1979,2157095,171296,0
1980,2254054,180364,0
1981,2343401,171148,0
1982,2437004,167032,0
1983,2499827,156902,0
1984,2602934,163310,0
1985,2698606,165494,0
1986,2795119,174674,0
1987,2877800,174800,0
1988,2986045,175686,0
1989,3079221,180496,0
1990,3132269,191298,0
1991,3198079,189864,0
1992,3244614,187276,0
1993,3285845,176546,0
1994,3325876,165964,0
1995,3351236,162938,0
1996,3390840,170280,0
1997,3431298,170118,0
1998,3473336,173912,9252
1999,3518018,178856,6514
2000,3557460,176148,5844
2001,3606403,164182,6754
2002,3671347,171616,16642
2003,3728348,160854,20238
2004,3785836,146882,22312
2005,3852661,144526,22614
2006,3917613,144738,21602
2007,3978840,144970,21100
2008,4055846,150876,21684
2009,4152240,146954,18994
2010,4187391,150798,19142
2011,4271270,143144,19890
2012,4354611,140630,18448
2013,4432442,129098,18890
2014,4513734,130666,20726
2015,4602802,128616,25544
2016,4695620,130498,31412
2017,4796978,128804,35732
2018,4901512,128630,39660
2019,5016378,127130,43770
